seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
3442524516;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.707734;0.011174;4.56873;0.117449;5.9244;0.268285;0.0471352;0.0022216;0;0;0;0;0;0;0;0;0;0;0;0.2944;7.056;2.944;0.244795;0.0117259;19.868;13.216;4.672;23.808;./sim_seasonal_tsd_24_03_2026_113829_4
126170259;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.67697;0.00534248;5.47667;0.0700093;5.9676;0.28415;0.0749145;0.00475883;0;0;0;0;0;0;0;0;0;0;0;0.272;7.28;2.72;0.252848;0.00887237;16.8;13.876;4.66;30.32;./sim_seasonal_tsd_24_03_2026_113829_10
1706796636;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;999100;0.672013;0.00841774;-5.00538;0.0330359;3.4628;0.248616;0.0105959;0.000343688;0.73147;0.00866107;0.044;0;0;0;0;0;9.92;0.08;1;1;0;10;0.4899;0.00901776;17.424;18.82;2.416;0.02;./sim_seasonal_tsd_24_03_2026_113829_79
229092424;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.607884;0.00380918;-7.18399;0.00749018;0.7224;0.566938;0.00943124;0.000425992;0.788702;0.00303651;0;0;0;0;0;0;0;0;0;0.2812;7.188;2.812;0.249347;0.0100523;18.888;18.488;18.836;0.852;./sim_seasonal_tsd_24_03_2026_113829_55
3158767488;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.631206;0.00126194;4.57906;0.0105257;3.866;0.438444;0.0211489;0.00127565;0;0;0;0;0;0;0;0;0;0;0;0.174;8.26;1.74;0.49942;0.0100422;17.116;11.9;0.36;16.404;./sim_seasonal_tsd_24_03_2026_113829_30
2736526993;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.700231;0.0133167;5.45958;0.0234288;5.9224;0.286778;0.0726553;0.00313435;0;0;0;0;0;0;0;0;0;0;0;0.3212;6.788;3.212;0.253781;0.0109464;18.016;12.856;4.016;26.668;./sim_seasonal_tsd_24_03_2026_113829_2
1406608290;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.631005;0.00527952;-7.64418;0.011051;0.3636;0.300995;0.126703;0.00267427;0.620238;0.00325749;0;0;0;0;0;0;0;0;0;0.5932;4.068;5.932;0.497222;0.00992381;18.492;21.076;2.776;0.032;./sim_seasonal_tsd_24_03_2026_113829_77
1001457923;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.696508;0.00489877;4.8848;0.015747;3.9436;0.234819;0.150038;0.0013629;0.0218259;0.00175525;0;0;0;0;0;0;0;0;0;0.3728;6.272;3.728;0.494438;0.00903428;17.384;16.832;0.216;10.58;./sim_seasonal_tsd_24_03_2026_113829_72
2478604426;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.05;0.05;-10;10;1;0;0.5;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;1000000;0.700692;0.0023934;5.91445;0.0173187;3.912;0.282656;0.0166673;0.000668806;0;0;0;0;0;0;0;0;0;0;0;0.1692;8.308;1.692;0.499983;0.00926933;17.508;14.296;0.264;17.34;./sim_seasonal_tsd_24_03_2026_113829_38
3881943783;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.05;0.05;-10;10;1;0;0.25;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.647256;0.00723903;-5.36661;0.0596747;1.8584;0.382349;0.0212664;0.000944982;0.748206;0.00224478;0;0;0;0;0;0;0;0;0;0.464;5.36;4.64;0.265835;0.0101694;17.764;20.448;17.876;2.084;./sim_seasonal_tsd_24_03_2026_113829_47
