seed;npatches;max_simulation_time;simulation_time_change;n;skip;fecundity;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;init_t;max_t_season;init_a;init_b;init_depth;mu_a;mu_b;mu_t;mu_depth;mu_depth_slope;temp_error_sd;unif_range_sdmu_t;sdmu;time;a;var_a;b;var_b;t;var_t;depth;var_depth;depth_slope;var_depth_slope;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
3168497140;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.621549;0.00165061;-8.677;0.0117215;5.984;0.376544;0.047542;0.0059739;-1.2426;0.00615402;0;0;0;0;0;0;0;0;0;0.248;7.52;2.48;0.00522608;0.00793588;9.076;20.496;8.504;18.392;./sim_seasonal_tsd_25_03_2026_103354_1213
589362924;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.629508;0.00206059;8.84105;0.0174663;5.9492;0.234619;0.0880617;0.00784281;-0.595772;0.0128659;0;0;0;0;0;0;0;0;0;0.7432;2.568;7.432;-6.71074e-05;0.0113659;11.176;3.98;9.588;3.68;./sim_seasonal_tsd_25_03_2026_103354_1212
1728048861;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.624022;0.00207189;-9.06943;0.0246589;5.9236;0.261763;0.413343;0.00703332;-1.43604;0.034617;0;0;0;0;0;0;0;0;0;0.3;7;3;-0.00134342;0.00879121;8.548;20.992;9.136;20.012;./sim_seasonal_tsd_25_03_2026_103354_1201
2546425837;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.627204;0.00126515;-8.67258;0.0342131;5.9412;0.331343;0.4481;0.00493309;-1.79665;0.0085653;0;0;0;0;0;0;0;0;0;0.3028;6.972;3.028;0.00479828;0.00957886;10.824;18.948;8.932;17.636;./sim_seasonal_tsd_25_03_2026_103354_1215
925532190;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.612482;0.00162407;9.19027;0.0166268;5.9964;0.257987;0.313478;0.0211611;-2.0317;0.00451233;0;0;0;0;0;0;0;0;0;0.626;3.74;6.26;0.000334162;0.0105854;8.876;4.032;10.54;4.78;./sim_seasonal_tsd_25_03_2026_103354_1216
2271018499;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.62601;0.00311593;-8.93172;0.0537828;5.9508;0.387579;0.199749;0.00336522;-0.900239;0.0128341;0;0;0;0;0;0;0;0;0;0.3004;6.996;3.004;-0.00678734;0.0102166;7.848;21.108;7.88;19.26;./sim_seasonal_tsd_25_03_2026_103354_1217
2862321975;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.621036;0.00525097;9.1993;0.0130771;5.96;0.24;0.182672;0.00513728;-1.24565;0.00654933;0;0;0;0;0;0;0;0;0;0.7412;2.588;7.412;-0.00112742;0.0118127;8.044;3.012;10.42;3.808;./sim_seasonal_tsd_25_03_2026_103354_1220
4030769376;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.615216;0.00275307;9.19899;0.00735119;5.964;0.264304;0.140854;0.00693646;-1.05744;0.0114451;0;0;0;0;0;0;0;0;0;0.7028;2.972;7.028;0.00156632;0.00865042;10.432;5.264;11.656;4.488;./sim_seasonal_tsd_25_03_2026_103354_1218
2061894372;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;6;50;0;0;0;0.02;0.02;0.1;0.01;0.01;0.1;2;0.05;1000000;0.618235;0.00183421;-9.31814;0.0177344;6.0336;0.443671;0.172912;0.00497952;-0.871888;0.0532479;0;0;0;0;0;0;0;0;0;0.3196;6.804;3.196;0.00695051;0.00872549;7.3;20.628;7.772;19.052;./sim_seasonal_tsd_25_03_2026_103354_1219
2092429937;250;1000000;999000;10;40;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0.508475;6;50;0;0;0;0.02;0.02;0.1;0.01;0;0.1;2;0.05;999100;0.609093;0.00266242;8.31352;0.00553214;5.874;0.110124;0;0;0;0;0;0.032;0;0;0;0;0.016;0.144;0;0;10;0;0.522115;0.00918914;8.232;4.94;0.004;2.568;./sim_seasonal_tsd_25_03_2026_103354_602
