seed;type;npatches;n;df;dm;sf;sm;toptf;toptm;omegaf;omegam;ab_min;ab_max;amplitude;intercept;intercept_change;simulation_time_change;interval_before_after_change;skip_output;init_t;max_t_season;init_a;init_b;mu_a;mu_b;mu_t;mu_tb;mu_time_threshold;mu_tmax;sdmu;temp_error_sd;cue_error;time;a;var_a;b;var_b;temp_a;var_temp_a;temp_b;var_temp_b;tmax;var_tmax;time_threshold;var_time_threshold;surviving_male_juvs;surviving_female_juvs;surviving_male_adults;surviving_female_adults;available_males;available_females;already_attempted_males;already_attempted_females;surviving_juv_sr;adult_sr;adult_surv_sr;nf;nm;mean_environment;var_environment;surviving_male_juvs_998999;surviving_female_juvs_998999;surviving_male_juvs_999049;surviving_female_juvs_999049;file
624909828;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.638303;0.00191879;9.23543;0.0518583;0.657899;0.00139392;9.94692;0.00440737;0.949632;0.00340579;0;0;0;0;0;0;0;0;0;0;0;0.4176;0;5.824;4.176;-1.94273e-12;1.10203e-38;21.128;19.864;20.192;21.24;./sim_seasonal_tsd_19_03_2026_171640_1210
856498772;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.641636;0.0037567;-7.61706;0.0327703;-1.71777;0.0226032;0;0;0.971212;0.0016054;5.9932;0.419554;0;0;0;0;0;0;0;0;0;0.4204;0;5.796;4.204;-1.94273e-12;1.10203e-38;18.344;22.908;19.072;23.484;./sim_seasonal_tsd_19_03_2026_171640_9
2284483469;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.659322;0.00331304;-7.88427;0.0605171;0.207965;0.00631555;0;0;0.964048;0.00256831;6.0124;0.401046;0;0;0;0;0;0;0;0;0;0.4312;0;5.688;4.312;-1.94273e-12;1.10203e-38;15.856;24.692;17.564;26.256;./sim_seasonal_tsd_19_03_2026_171640_11
3866096205;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.656341;0.0026547;8.45223;0.0417292;-0.658552;0.022604;0;0;0.968165;0.00185321;6.0044;0.490781;0;0;0;0;0;0;0;0;0;0.5308;0;4.692;5.308;-1.94273e-12;1.10203e-38;17.736;19.432;19.18;19.284;./sim_seasonal_tsd_19_03_2026_171640_10
2613997773;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.663619;0.00157992;8.84684;0.015981;-1.59291;0.00673321;0;0;0.967925;0.0017714;6.066;0.389644;0;0;0;0;0;0;0;0;0;0.4844;0;5.156;4.844;-1.94273e-12;1.10203e-38;20.576;18.804;18.424;18.612;./sim_seasonal_tsd_19_03_2026_171640_16
3555768318;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.640586;0.00165126;-8.72253;0.0189209;0.654443;0.00127227;9.8989;0.00648315;0.958286;0.00210689;0;0;0;0;0;0;0;0;0;0;0;0.5044;0;4.956;5.044;-1.94273e-12;1.10203e-38;21.936;20.2;20.012;19.764;./sim_seasonal_tsd_19_03_2026_171640_1209
3826872494;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0.02;0;0.05;0.05;0;0;1000000;0.652596;0.00183391;-9.69843;0.0331562;0.657692;0.00112484;9.93402;0.00299697;0.946881;0.00354242;0;0;0;0;0;0;0;0;0;0;0;0.5128;0;4.872;5.128;-1.94273e-12;1.10203e-38;19.412;19.468;20.784;21.72;./sim_seasonal_tsd_19_03_2026_171640_1211
3826668850;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.656358;0.00279646;-8.35417;0.057454;-1.02883;0.27226;0;0;0.965228;0.0016618;5.9808;0.412431;0;0;0;0;0;0;0;0;0;0.3964;0;6.036;3.964;-1.94273e-12;1.10203e-38;17.988;23.42;18.516;23.372;./sim_seasonal_tsd_19_03_2026_171640_15
1562697228;sigmoidal;250;10;0.5;0.5;0;0;0.8;0.5;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.653246;0.00290786;7.46234;0.0613847;2.35747;0.0170842;0;0;0.97208;0.00212779;6.0608;0.453903;0;0;0;0;0;0;0;0;0;0.5212;0;4.788;5.212;-1.94273e-12;1.10203e-38;18.492;18.628;19.284;17.14;./sim_seasonal_tsd_19_03_2026_171640_14
3620659629;sigmoidal;250;10;0.5;0.5;0;0;0.5;0.8;0.01;0.01;-10;10;1;0;0;999000;2000;40;0;50;0;0;0.02;0.02;0.02;0;0.1;0.05;0.05;0;0;1000000;0.651733;0.00299161;-7.57567;0.0223802;-1.49332;0.0190901;0;0;0.961519;0.00269045;5.9752;0.402585;0;0;0;0;0;0;0;0;0;0.4128;0;5.872;4.128;-1.94273e-12;1.10203e-38;17.888;25.628;16.06;24.048;./sim_seasonal_tsd_19_03_2026_171640_17
